Close/Last,Open,High,Low,Year,Month,Day,Quarter
3911.74,3821.75,3913.65,3821.75,2022,6,24,2
3795.73,3774.71,3802.58,3743.52,2022,6,23,2
3759.89,3733.89,3801.79,3717.69,2022,6,22,2
3764.79,3715.31,3779.65,3715.31,2022,6,21,2
3674.84,3665.9,3707.71,3636.87,2022,6,17,2
3666.77,3728.18,3728.18,3639.77,2022,6,16,2
3789.99,3764.05,3837.56,3722.3,2022,6,15,2
3735.48,3763.52,3778.18,3705.68,2022,6,14,2
3749.63,3838.15,3838.15,3734.3,2022,6,13,2
3900.86,3974.39,3974.39,3900.16,2022,6,10,2
4017.82,4101.65,4119.1,4017.17,2022,6,9,2
4115.77,4147.12,4160.14,4107.2,2022,6,8,2
4160.68,4096.47,4164.86,4080.19,2022,6,7,2
4121.43,4134.72,4168.78,4109.18,2022,6,6,2
4108.54,4137.57,4142.67,4098.67,2022,6,3,2
4176.82,4095.41,4177.51,4074.37,2022,6,2,2
4101.23,4149.78,4166.54,4073.85,2022,6,1,2
4132.15,4151.09,4168.34,4104.88,2022,5,31,2
4158.24,4077.43,4158.49,4077.43,2022,5,27,2
4057.84,3984.6,4075.14,3984.6,2022,5,26,2
3978.73,3929.59,3999.33,3925.03,2022,5,25,2
3941.48,3942.94,3955.68,3875.13,2022,5,24,2
3973.75,3927.02,3981.88,3909.04,2022,5,23,2
3901.36,3927.76,3943.42,3810.32,2022,5,20,2
3900.79,3899.0,3945.96,3876.58,2022,5,19,2
3923.68,4051.98,4051.98,3911.91,2022,5,18,2
4088.85,4052.0,4090.72,4033.93,2022,5,17,2
4008.01,4013.02,4046.46,3983.99,2022,5,16,2
4023.89,3963.9,4038.88,3963.9,2022,5,13,2
3930.08,3903.95,3964.8,3858.87,2022,5,12,2
3935.18,3990.08,4049.09,3928.82,2022,5,11,2
4001.05,4035.18,4068.82,3958.17,2022,5,10,2
3991.24,4081.27,4081.27,3975.48,2022,5,9,2
4123.34,4128.17,4157.69,4067.91,2022,5,6,2
4146.87,4270.43,4270.43,4106.01,2022,5,5,2
4300.17,4181.18,4307.66,4148.91,2022,5,4,2
4175.48,4159.78,4200.1,4147.08,2022,5,3,2
4155.38,4130.61,4169.81,4062.51,2022,5,2,2
4131.93,4253.75,4269.68,4124.28,2022,4,29,2
4287.5,4222.58,4308.45,4188.63,2022,4,28,2
4183.96,4186.52,4240.71,4162.9,2022,4,27,2
4175.2,4278.14,4278.14,4175.04,2022,4,26,2
4296.12,4255.34,4299.02,4200.82,2022,4,25,2
4271.78,4385.83,4385.83,4267.62,2022,4,22,2
4393.66,4489.17,4512.94,4384.47,2022,4,21,2
4459.45,4472.26,4488.29,4448.76,2022,4,20,2
4462.21,4390.63,4471.03,4390.63,2022,4,19,2
4391.69,4385.63,4410.31,4370.3,2022,4,18,2
4392.59,4449.12,4460.46,4390.77,2022,4,14,2
4446.59,4394.3,4453.92,4392.7,2022,4,13,2
4397.45,4437.59,4471.0,4381.34,2022,4,12,2
4412.53,4462.64,4464.35,4408.38,2022,4,11,2
4488.28,4494.15,4520.41,4474.6,2022,4,8,2
4500.21,4474.65,4521.16,4450.3,2022,4,7,2
4481.15,4494.17,4503.94,4450.04,2022,4,6,2
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,4,5,2
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,4,4,2
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,4,1,2
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,3,31,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,3,30,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,3,29,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,3,28,1
4520.66625,4522.91,4542.635,4500.9475,2022,3,25,1
4520.16,4469.98,4520.58,4465.17,2022,3,24,1
4456.24,4493.1,4501.07,4455.81,2022,3,23,1
4511.61,4469.1,4522.0,4469.1,2022,3,22,1
4461.18,4462.4,4481.75,4424.3,2022,3,21,1
4463.12,4407.34,4465.4,4390.57,2022,3,18,1
4411.67,4345.11,4412.67,4335.65,2022,3,17,1
4357.86,4288.14,4358.9,4251.99,2022,3,16,1
4262.45,4188.82,4271.05,4187.9,2022,3,15,1
4173.11,4202.75,4247.57,4161.72,2022,3,14,1
4204.31,4279.5,4291.01,4200.49,2022,3,11,1
4259.52,4252.55,4268.28,4209.8,2022,3,10,1
4277.88,4223.1,4299.4,4223.1,2022,3,9,1
4170.7,4202.66,4276.94,4157.87,2022,3,8,1
4201.09,4327.01,4327.01,4199.85,2022,3,7,1
4328.87,4342.12,4342.12,4284.98,2022,3,4,1
4363.49,4401.31,4416.78,4345.56,2022,3,3,1
4386.54,4322.56,4401.48,4322.56,2022,3,2,1
4306.26,4363.14,4378.45,4279.54,2022,3,1,1
4373.94,4354.17,4388.84,4315.12,2022,2,28,1
4384.65,4298.38,4385.34,4286.83,2022,2,25,1
4288.7,4155.77,4294.73,4114.65,2022,2,24,1
4225.5,4324.93,4341.51,4221.51,2022,2,23,1
4304.76,4332.74,4362.12,4267.11,2022,2,22,1
4348.87,4384.57,4394.6,4327.22,2022,2,18,1
4380.26,4456.06,4456.06,4373.81,2022,2,17,1
4475.01,4455.75,4489.55,4429.68,2022,2,16,1
4471.07,4429.28,4472.77,4429.28,2022,2,15,1
4401.67,4412.61,4426.22,4364.84,2022,2,14,1
4418.64,4506.27,4526.33,4401.41,2022,2,11,1
4504.08,4532.4662499999995,4542.635,4484.31,2022,2,10,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,2,9,1
4520.66625,4480.02,4531.32,4465.4,2022,2,8,1
4483.87,4505.75,4521.86,4471.47,2022,2,7,1
4500.53,4482.79,4539.66,4451.5,2022,2,4,1
4477.44,4532.4662499999995,4542.635,4470.39,2022,2,3,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,2,2,1
4520.66625,4519.57,4542.635,4483.53,2022,2,1,1
4515.55,4431.79,4516.89,4414.02,2022,1,31,1
4431.85,4336.19,4432.72,4292.46,2022,1,28,1
4326.51,4380.58,4428.74,4309.5,2022,1,27,1
4349.93,4408.43,4453.23,4304.8,2022,1,26,1
4356.45,4366.64,4411.01,4287.11,2022,1,25,1
4410.13,4356.32,4417.35,4222.62,2022,1,24,1
4397.94,4471.38,4494.52,4395.34,2022,1,21,1
4482.73,4532.4662499999995,4542.635,4477.95,2022,1,20,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,19,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,18,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,14,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,13,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,12,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,11,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,10,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,7,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,6,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,5,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,4,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2022,1,3,1
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,31,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,30,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,29,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,28,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,27,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,23,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,22,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,21,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,20,4
4520.66625,4532.4662499999995,4542.635,4500.9475,2021,12,17,4
